DADOS GERAIS;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
BSW;89,55;;%;;;;;;;;;;;
RGO da formação;58,4;m³/m³;;;;;;;;;;;;
Densidade do gás produzido;0,636;;(ar = 1,0);;;;;;;;;;;
Dist. mesa rot. cab. produção;1.333,00;m;;;;;;;;;;;;
Temperatura ambiente a jusante (produção);25;°C;;;;;;;;;;;;
Temperatura ambiente na árvore (injeção);3,4;°C;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPÇÕES DE CÁLCULO;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Pressão de tubo;;;Variável de Sensibilidade;;;;;;;;;;;
Pressão de injeção;198,95;kgf/cm²;man.;;;;;;;;;;;
 - Vazão Estimada de injeção;;m³/d;;;;;;;;;;;;
 - Convergir Vazão de Injeção;;;NÃO;;;;;;;;;;;
Cálculo térmico;;;SIM;;;;;;;;;;;
Correlação para Válvula de Pressão;;;Standard;;;;;;;;;;;
Correlação para Válvula de Orifício;;;T-C modificado;;;;;;;;;;;
Correlação para Válvula de Venturi;;;T-C modificado;;;;;;;;;;;
Fator correção para válvula;;;0,29;;;;;;;;;;;
Densidade do gás de injeção;0,641;;(ar = 1,0);;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
OPÇÕES DE CONTORNO;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Pjus e IPR Conhecidos, Calcula Vazão de Equilíbrio;;;;;;;;;;;;;;
Tipo de IPR;;;Linear;;;;;;;;;;;
3;Linha Marítima;339,8;4;-76,53;7;8,8;1;1;Cálculo Monofásico;;;;;
4;Linha Marítima;216,3;4;-68,54;5;4,7;1;1;Cálculo Monofásico;;;;;
5;Linha Marítima;142;4;-56,15;3;3,5;1;1;Cálculo Monofásico;;;;;
6;Linha Marítima;100,2;4;-37,86;3;3,4;1;1;Cálculo Monofásico;;;;;
7;Linha Marítima;81,4;4;-13,54;2;3,4;1;1;Cálculo Monofásico;;;;;
8;Linha Marítima;464,5;4;-1,36;10;3,4;1;1;Cálculo Monofásico;;;;;
9;Linha Marítima;1.055,90;4;-1,36;20;3,4;1;1;Cálculo Monofásico;;;;;
10;Linha Marítima;210,1;4;-1,36;5;3,4;1;1;Cálculo Monofásico;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Dados de Análise de Sensibilidade;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Freq. Motor [1];Pjus [1];QOstd;QL;Twh;Pwh;DeltaP;;;;;;;;
[Hz];[kgf/cm²];[m³/d];[m³/d];[°C];[kgf/cm²];[kgf/cm²];;;;;;;;
40;10;319,8;3.060,30;75,2;155,29;64,67;;;;;;;;
40;12,5;310,2;2.968,70;75,1;158,05;66,73;;;;;;;;
40;15;300,6;2.876,80;75;160,69;68,69;;;;;;;;
40;17,5;290,9;2.783,30;74,9;163,25;70,57;;;;;;;;
40;20;280,8;2.687,50;74,8;165,74;72,37;;;;;;;;
40;22,5;270,5;2.588,80;74,7;168,18;74,12;;;;;;;;
40;25;259,9;2.486,60;74,6;170,58;75,81;;;;;;;;
40;27,5;248,8;2.380,80;74,5;172,94;77,46;;;;;;;;
40;30;237,3;2.270,50;74,4;175,27;79,08;;;;;;;;
40;32,5;225,3;2.155,90;74,2;177,59;80,66;;;;;;;;
40;35;212,7;2.035,80;74;179,89;82,22;;;;;;;;
40;37,5;199,5;1.909,30;73,8;182,19;83,76;;;;;;;;
40;40;185,5;1.775,20;73,6;184,48;85,27;;;;;;;;
40;42,5;170,5;1.631,20;73,2;186,78;86,76;;;;;;;;
40;45;154,2;1.475,20;72,8;189,09;88,23;;;;;;;;
40;47,5;136,2;1.303,60;72,3;191,44;89,71;;;;;;;;
40;50;116,1;1.111,00;71,5;193,85;91,2;;;;;;;;
41;10;333,9;3.195,10;75,2;156,14;66,57;;;;;;;;
41;12,5;324,8;3.108,30;75,2;158,89;68,64;;;;;;;;
41;15;315,7;3.021,30;75,1;161,53;70,62;;;;;;;;
